frame	acquisition	preprocessing	tracking	integration	raycasting	rendering	computation	total    	X          	Y          	Z         	tracked   	integrated	startTS	endTS
35	0.055452	0.079266	0.251905	0.454671	0.009924	0.000000	0.795766	0.851218	-0.122760	0.000080	-0.013137	1        	1	18641.237616	18642.088833	
36	0.054811	0.079895	0.241701	0.446240	0.009241	0.000000	0.777077	0.831888	-0.128358	0.001024	-0.014936	1        	1	18642.088866	18642.920755	
37	0.054579	0.081063	0.201445	0.449251	0.010000	0.000000	0.741758	0.796338	-0.139379	-0.001082	-0.013682	1        	1	18642.920816	18643.717154	
38	0.054423	0.077550	0.340106	0.444554	0.020094	0.000000	0.882303	0.936726	-0.150733	-0.001772	-0.012929	1        	1	18643.717187	18644.653913	
39	0.055694	0.078148	0.258924	0.475438	0.009729	0.000000	0.822240	0.877934	-0.154257	-0.002274	-0.016270	1        	1	18644.654033	18645.531967	
40	0.054153	0.071965	0.247609	0.465531	0.009647	0.000000	0.794752	0.848905	-0.163974	-0.004112	-0.015577	1        	1	18645.532024	18646.380930	
41	0.054538	0.077632	0.213946	0.449054	0.011909	0.000000	0.752540	0.807078	-0.174341	-0.005212	-0.013830	1        	1	18646.380964	18647.188042	
42	0.055210	0.077771	0.246241	0.459102	0.009493	0.000000	0.792606	0.847816	-0.187680	-0.003678	-0.011579	1        	1	18647.188075	18648.035891	
43	0.060425	0.078949	0.214325	0.447729	0.009472	0.000000	0.750475	0.810900	-0.194453	-0.003237	-0.008247	1        	1	18648.035921	18648.846821	
44	0.054440	0.083672	0.284676	0.468621	0.009769	0.000000	0.846738	0.901177	-0.200857	-0.003733	-0.010321	1        	1	18648.846856	18649.748033	
45	0.054976	0.079151	0.211931	0.448981	0.009245	0.000000	0.749308	0.804284	-0.209250	-0.001791	-0.006595	1        	1	18649.748131	18650.552415	
46	0.055590	0.077360	0.258369	0.446166	0.009248	0.000000	0.791142	0.846733	-0.215195	-0.001369	-0.006520	1        	1	18650.552478	18651.399211	
47	0.054613	0.077695	0.214134	0.449811	0.009455	0.000000	0.751094	0.805707	-0.218165	-0.003121	-0.006807	1        	1	18651.399245	18652.204953	
48	0.054919	0.070704	0.202173	0.447902	0.009412	0.000000	0.730191	0.785111	-0.222610	-0.003220	-0.005679	1        	1	18652.205003	18652.990114	
49	0.054245	0.069654	0.244539	0.448164	0.009511	0.000000	0.771868	0.826113	-0.230086	-0.002006	-0.004854	1        	1	18652.990165	18653.816278	
50	0.059294	0.077872	0.289145	0.449213	0.009302	0.000000	0.825532	0.884826	-0.244534	-0.002358	0.000080	1        	1	18653.816311	18654.701136	
51	0.054561	0.069311	0.327391	0.456720	0.009422	0.000000	0.862845	0.917406	-0.242591	-0.002625	-0.002960	1        	1	18654.701179	18655.618584	
52	0.055092	0.069332	0.219020	0.456984	0.009475	0.000000	0.754810	0.809902	-0.246726	-0.002107	-0.003623	1        	1	18655.618688	18656.428590	
53	0.054660	0.078486	0.299982	0.458916	0.009613	0.000000	0.846997	0.901658	-0.248533	-0.004312	-0.006830	1        	1	18656.428634	18657.330291	
54	0.054697	0.078673	0.264514	0.455540	0.009597	0.000000	0.808324	0.863021	-0.261428	-0.005959	-0.001082	1        	1	18657.330315	18658.193336	
55	0.054872	0.069541	0.230244	0.447490	0.011535	0.000000	0.758809	0.813681	-0.263794	-0.005577	-0.001447	1        	1	18658.193386	18659.007067	
56	0.055846	0.079609	0.181147	0.456902	0.009790	0.000000	0.727449	0.783295	-0.283724	-0.004845	0.007754	1        	1	18659.007101	18659.790396	
57	0.054528	0.079521	0.257180	0.468778	0.010492	0.000000	0.815971	0.870499	-0.288725	-0.007344	0.008389	1        	1	18659.790437	18660.660936	
58	0.054917	0.087004	0.240477	0.457577	0.009462	0.000000	0.794520	0.849437	-0.298246	-0.008197	0.011198	1        	1	18660.660971	18661.510409	
59	0.054512	0.084809	0.248918	0.448478	0.009412	0.000000	0.791617	0.846128	-0.312296	-0.005873	0.016830	1        	1	18661.510451	18662.356579	
60	0.055120	0.084350	0.252082	0.446758	0.009546	0.000000	0.792736	0.847856	-0.315421	-0.007372	0.014979	1        	1	18662.356613	18663.204469	
61	0.054558	0.069320	0.229124	0.447221	0.011543	0.000000	0.757207	0.811766	-0.322188	-0.009027	0.014778	1        	1	18663.204509	18664.016275	
62	0.054895	0.078887	0.249955	0.456649	0.009281	0.000000	0.794772	0.849667	-0.345626	-0.008659	0.025069	1        	1	18664.016303	18664.865971	
